product_id,year,month,region_id,qty,purchase_price
1,2022,1,2,1372,6326.7
1,2022,1,4,596,2748.33
1,2022,2,2,1372,6437.7
1,2022,2,4,596,2796.55
1,2022,3,2,1372,6659.69
1,2022,3,4,596,2892.98
1,2022,4,2,1372,6326.7
1,2022,4,4,596,2748.33
1,2022,5,2,1372,6659.69
1,2022,5,4,596,2892.98
1,2022,6,2,1372,6326.7
1,2022,6,4,596,2748.33
1,2022,7,2,1372,6326.7
1,2022,7,4,596,2748.33
1,2022,8,2,1372,6326.7
1,2022,8,4,596,2748.33
1,2022,9,2,1372,6326.7
1,2022,9,4,596,2748.33
1,2022,10,2,1372,6437.7
1,2022,10,4,596,2796.55
1,2022,11,2,1372,6659.69
1,2022,11,4,596,2892.98
1,2022,12,2,1372,6659.69
1,2022,12,4,596,2892.98
1,2023,1,2,1372,6215.71
1,2023,1,4,596,2700.12
1,2023,2,2,1372,6548.69
1,2023,2,4,596,2844.77
1,2023,3,2,1372,6215.71
1,2023,3,4,596,2700.12
1,2023,4,2,1372,6215.71
1,2023,4,4,596,2700.12
1,2023,5,2,1372,6326.7
1,2023,5,4,596,2748.33
1,2023,6,2,1372,6437.7
1,2023,6,4,596,2796.55
1,2023,7,2,1372,6215.71
1,2023,7,4,596,2700.12
1,2023,8,2,1372,6326.7
1,2023,8,4,596,2748.33
1,2023,9,2,1372,6659.69
1,2023,9,4,596,2892.98
1,2023,10,2,1372,6215.71
1,2023,10,4,596,2700.12
1,2023,11,2,1372,6326.7
1,2023,11,4,596,2748.33
1,2023,12,2,1372,6326.7
1,2023,12,4,596,2748.33
1,2024,1,2,1372,6437.7
1,2024,1,4,596,2796.55
1,2024,2,2,1372,6326.7
1,2024,2,4,596,2748.33
1,2024,3,2,1372,6659.69
1,2024,3,4,596,2892.98
1,2024,4,2,1372,6548.69
1,2024,4,4,596,2844.77
1,2024,5,2,1372,6548.69
1,2024,5,4,596,2844.77
1,2024,6,2,1372,6326.7
1,2024,6,4,596,2748.33
1,2024,7,2,1372,6326.7
1,2024,7,4,596,2748.33
1,2024,8,2,1372,6548.69
1,2024,8,4,596,2844.77
1,2024,9,2,1372,6548.69
1,2024,9,4,596,2844.77
1,2024,10,2,1372,6659.69
1,2024,10,4,596,2892.98
1,2024,11,2,1372,6326.7
1,2024,11,4,596,2748.33
1,2024,12,2,1372,6326.7
1,2024,12,4,596,2748.33
1,2025,1,2,1372,6548.69
1,2025,1,4,596,2844.77
1,2025,2,2,1372,6548.69
1,2025,2,4,596,2844.77
1,2025,3,2,1372,6437.7
1,2025,3,4,596,2796.55
1,2025,4,2,1372,6326.7
1,2025,4,4,596,2748.33
1,2025,5,2,1372,6659.69
1,2025,5,4,596,2892.98
1,2025,6,2,1372,6548.69
1,2025,6,4,596,2844.77
1,2025,7,2,1372,6437.7
1,2025,7,4,596,2796.55
1,2025,8,2,1372,6326.7
1,2025,8,4,596,2748.33
1,2025,9,2,1372,6437.7
1,2025,9,4,596,2796.55
1,2025,10,2,1372,6659.69
1,2025,10,4,596,2892.98
2,2022,1,4,580,1882.22
2,2022,2,4,580,1832.68
2,2022,3,4,580,1832.68
2,2022,4,4,580,1882.22
2,2022,5,4,580,1882.22
2,2022,6,4,580,1832.68
2,2022,7,4,580,1882.22
2,2022,8,4,580,1882.22
2,2022,9,4,580,1832.68
2,2022,10,4,580,1832.68
2,2022,11,4,580,1882.22
2,2022,12,4,580,1882.22
2,2023,1,4,25,81.13
2,2023,2,4,53,167.47
2,2023,3,4,26,82.15
2,2023,4,4,53,172.0
2,2023,5,4,52,164.31
2,2023,6,4,26,84.38
2,2023,7,4,53,172.0
2,2023,8,4,52,164.31
2,2023,9,4,52,168.75
2,2023,10,4,26,82.15
2,2023,11,4,26,84.38
2,2023,12,4,26,82.15
2,2024,1,4,52,168.75
2,2024,2,4,25,78.99
2,2024,3,4,26,84.38
2,2024,4,4,26,84.38
2,2024,5,4,52,168.75
2,2024,6,4,25,78.99
2,2024,7,4,26,84.38
2,2024,8,4,52,164.31
2,2024,9,4,25,78.99
2,2024,10,4,52,168.75
2,2024,11,4,25,78.99
2,2024,12,4,52,164.31
2,2025,1,4,52,164.31
2,2025,2,4,26,82.15
2,2025,3,4,26,82.15
2,2025,4,4,26,82.15
2,2025,5,4,53,167.47
2,2025,6,4,26,82.15
2,2025,7,4,53,167.47
2,2025,8,4,52,164.31
2,2025,9,4,52,164.31
2,2025,10,4,26,84.38
3,2022,1,1,268,5183.5
3,2022,1,4,33,638.27
3,2022,2,1,188,3678.46
3,2022,2,4,36,704.39
3,2022,3,1,496,9147.13
