customer_id,product_id,state,date,sales_price
2685,5,TX,4/6/2025,6.3
1769,5,GA,1/12/2023,6.34
7949,5,WI,5/24/2023,6.87
3433,4,SC,6/26/2025,5.46
6311,8,SC,8/22/2023,4.77
6051,10,IL,10/23/2022,11.9
7420,1,WI,12/25/2024,8.51
2184,6,AZ,11/21/2024,8.21
5555,7,FL,7/19/2024,2.85
4385,10,WI,11/16/2024,11.05
7396,3,TX,10/18/2024,25.51
9666,2,MI,2/25/2023,10.42
3558,5,OH,12/14/2024,6.32
8849,10,MN,5/23/2023,11.75
3047,9,CT,3/21/2023,13.94
3747,5,NC,7/2/2025,7.04
1189,3,MO,10/9/2022,26.96
3734,10,MI,7/13/2023,11.61
4005,2,MD,5/21/2024,9.17
5658,3,MI,3/9/2022,24.5
2899,3,SC,10/6/2025,24.15
8734,2,MO,7/11/2025,10.03
2267,5,NC,10/18/2024,6.55
2528,4,SC,6/12/2023,5.85
4556,6,WA,10/14/2025,8.35
4890,6,NV,10/12/2023,8.15
9838,1,CT,11/14/2024,9.32
6393,5,IL,6/13/2022,7.46
9792,2,MA,8/1/2024,11.12
9433,5,WI,2/8/2025,7.13
8513,8,MO,10/3/2023,4
3612,2,CT,8/20/2023,11.11
8041,4,GA,1/19/2023,5.12
7235,2,MN,4/9/2023,10.28
6486,7,MN,4/6/2024,2.38
8099,4,WI,7/11/2025,5.7
1775,1,MI,8/21/2023,10.67
9226,5,SC,6/25/2022,7.06
4152,3,IL,1/14/2025,22.88
2585,8,AZ,3/23/2022,3.97
4943,7,CT,6/20/2023,2.66
8555,2,NY,10/6/2022,10.07
4073,10,AZ,5/28/2024,12.01
2021,4,LA,5/4/2022,5.42
4843,2,CT,4/5/2023,10.4
8989,9,SC,7/28/2023,14.36
7873,5,AL,7/5/2024,6.97
6675,1,PA,3/21/2025,9.49
1161,5,SC,10/25/2024,6.32
5297,3,WI,4/9/2023,24.06
1995,2,MN,9/26/2022,9.98
8629,2,PA,4/24/2025,10.18
2016,1,MO,6/12/2022,10.62
8869,10,NY,1/20/2023,10.27
7439,6,CA,11/24/2023,7.26
8892,7,MO,6/7/2023,2.63
7863,5,LA,1/26/2022,6.14
8916,2,MD,10/31/2022,9.45
9529,2,MI,4/10/2024,10.1
1878,1,MN,3/10/2022,8.6
5887,2,NJ,6/2/2024,10.55
5859,7,MI,6/30/2025,2.78
7331,3,GA,8/25/2023,26.28
9571,8,OH,12/10/2022,3.69
9684,3,NC,7/18/2022,29.96
8208,9,OH,8/15/2025,15.49
6276,10,MN,4/28/2022,11.44
3062,6,WA,8/3/2022,9.46
1064,4,AL,6/20/2022,5.38
9006,3,NC,1/21/2025,22.85
3568,9,AZ,9/12/2023,13.36
6463,4,IL,7/1/2023,5.58
3027,1,MD,4/18/2024,9.06
3695,3,MI,4/18/2025,27.35
6258,1,NY,2/18/2023,9.45
6618,3,AL,4/8/2022,26.02
7736,2,MN,1/3/2023,9.79
1391,3,AL,5/1/2025,26.8
6892,7,VA,7/4/2025,2.65
4561,3,AL,7/27/2022,28.74
7184,10,AL,7/23/2025,11.97
4099,2,MA,5/29/2025,9.69
7278,7,MD,10/3/2025,2.45
9392,5,TX,10/19/2024,6.58
4104,4,MN,4/11/2025,4.75
8215,5,MN,3/21/2022,6.86
3454,2,NY,10/10/2024,9.02
9996,3,FL,7/31/2022,29.5
3731,1,NJ,5/28/2022,9.12
9154,5,TX,1/9/2024,6.67
6056,10,CA,2/23/2023,10.79
9110,6,AZ,2/27/2022,8.14
4840,7,NC,10/5/2023,2.41
2028,4,IL,9/19/2022,5.17
8385,6,CA,9/15/2022,8.73
1502,3,MO,2/8/2025,25.71
7910,2,VA,1/11/2024,9.36
7938,4,AL,5/23/2022,5.49
5488,5,FL,9/3/2023,6.69
1206,8,NJ,6/23/2023,4.26
6134,2,NJ,7/30/2023,10.63
6977,8,MD,1/8/2024,3.89
8721,9,AZ,1/20/2023,12.91
8035,6,CA,2/10/2024,7.97
2484,3,FL,8/20/2024,26.82
8858,9,MA,1/24/2023,12.56
1863,1,NJ,3/22/2023,9.43
3790,10,WA,6/30/2023,11.93
8408,1,WI,7/2/2022,9.67
9755,6,OR,1/19/2022,7.89
6116,1,NJ,11/13/2023,9.36
7019,3,NC,3/5/2022,25.65
2757,4,MN,5/5/2023,5.48
8574,1,MN,5/21/2024,9.81
7374,2,MI,12/13/2022,9.84
7892,5,NC,12/21/2024,6.69
2678,6,OH,12/3/2023,7.72
4242,3,GA,8/28/2023,28.62
5636,6,NV,5/14/2022,8.13
2059,2,CT,2/20/2023,9.63
7668,4,NC,7/3/2022,5.42
4157,7,SC,7/31/2022,2.63
6915,3,AL,6/19/2022,28.57
3693,6,OR,10/18/2025,8.16
4627,6,CA,5/11/2023,8.04
6450,1,PA,1/19/2025,8.41
2663,3,SC,1/23/2022,24.3
6592,3,AL,1/4/2024,23.09
8392,5,IL,7/15/2024,7.29
2306,8,AL,2/5/2023,4.28
7776,4,AL,10/1/2022,4.97
6864,5,SC,6/20/2025,7.48
8526,2,MD,9/24/2025,9.39
9901,5,NC,2/6/2023,6.38
6575,2,MN,8/30/2025,11.11
6530,4,SC,5/10/2024,4.82
5413,10,SC,11/24/2023,11.46
4748,4,MO,4/21/2025,5.09
1663,9,SC,1/11/2022,11.94
2998,4,FL,6/12/2024,5.48
8994,6,MO,6/29/2025,9.56
2495,3,WI,4/23/2022,26.74
4304,9,WA,6/24/2022,15.32
4763,8,OH,7/31/2025,4.64
6232,6,WA,11/21/2022,7.4
2853,9,NY,1/8/2024,11.85
7585,7,TX,7/10/2022,2.62
2291,4,OH,5/10/2024,5.17
